47,42,178,91,1
48.118,42.223,179.25,91.272,0.99914
47.948,43.426,178.73,92.343,0.98318
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
47,107,178,156,0.66889
48.143,102.75,180.57,152.29,0.64895
47.826,99.654,180.78,149.4,0.64329
46.728,100.74,179.71,150.49,0.64945
46.985,100.53,179.83,150.23,0.65118
49.5,22,180.5,71,0.89905
51.72,21.082,182.68,70.066,0.93007
49.777,20.91,180.83,69.93,0.85862
47.917,18.912,179.44,68.11,0.67174
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
47,7,178,56,0.79299
43.812,10.77,178.11,61.021,0.61179
47.194,13.073,180.57,62.974,0.5799
45.887,20.458,179.65,70.504,0.6338
47.834,24.3,180.51,73.933,0.67026
47.797,23.886,180.82,73.652,0.66728
48.973,24.113,182.16,73.941,0.70324
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
52,7,183,56,0.67965
59.5,9.5,190.5,58.5,0.56199
59.656,12.481,189,60.871,0.66282
61.683,5.9213,190.53,54.122,0.62574
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
62,12,193,61,0.63357
59.733,18.849,191.32,68.073,0.54882
61.168,17.282,192.83,66.534,0.56004
60.808,15.828,192.16,64.963,0.58843
64.661,15.149,195.43,64.061,0.69874
66.267,17.467,196.71,66.257,0.68691
NaN,NaN,NaN,NaN,NaN
69.5,7,200.5,56,0.59573
74.463,5.5217,202.53,53.447,0.67872
76.303,3.4444,201.13,50.193,0.66418
75.929,3.3504,200.32,49.934,0.62656
NaN,NaN,NaN,NaN,NaN
72,12,203,61,0.78655
72,13.667,203,62.667,0.65767
69.606,17.87,200.83,66.956,0.72168
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
75.75,10.75,206.75,59.75,0.51756
73.992,17.825,205.32,66.951,0.50851
75.142,20.453,206.49,69.584,0.50051
75.4,23.386,206.84,72.553,0.50853
77.439,24.707,207.05,73.199,0.54217
NaN,NaN,NaN,NaN,NaN
79.5,17,210.5,66,0.47904
NaN,NaN,NaN,NaN,NaN
77,7,208,56,0.48553
80.982,23.444,210.28,71.818,0.49755
80.81,38.045,210.29,86.477,0.5203
NaN,NaN,NaN,NaN,NaN
79.5,42,210.5,91,0.48312
82.446,38.934,211.99,87.402,0.54014
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
82,29.5,213,78.5,0.59954
79.784,30.362,211.67,79.698,0.59811
78.273,29.611,210.04,78.902,0.62083
79.877,28.409,211.38,77.602,0.72919
78.552,24.071,210.06,73.265,0.8168
82.096,19.075,214.65,68.67,0.75722
84.093,17.826,215.86,67.119,0.76421
85.706,18.661,213.92,66.644,0.78945
60.449,13.714,245.78,83.347,0.55806
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
84.5,52,215.5,101,0.53463
83.16,48.924,215.16,98.301,0.56093
83.575,48.634,215.81,98.1,0.64727
83.587,46.437,215.03,95.603,0.62039
82.957,44.784,214.13,93.849,0.61018
83.52,38.066,214.65,87.116,0.72675
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
82,27,213,76,0.70449
81.986,24.56,211.55,73.035,0.77134
81.708,28.844,209.22,76.575,0.70653
85.855,31.655,210.92,78.493,0.66748
86.923,36.01,210.54,82.323,0.67844
82.494,37.738,206.35,84.142,0.58972
80.36,36.377,206.55,83.64,0.6654
80.486,39.524,203.37,85.57,0.65287
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
85,31,216,80,0.644
82,42,213,91,0.64573
78.975,43.741,210.58,92.969,0.64639
82.523,42.043,213.68,91.103,0.65884
83.997,43.888,209.02,90.713,0.67226
83.834,45.857,206.72,91.91,0.61173
